Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Circuit training duration (ms)
2020-03-08,,,,1575.8205274336067,18.0,18,,,,,6542,4166.072355151176,0.48459127626049775,1.675110936164856,0.2510583996772766,84,,80087404,4551869,,
2020-03-09,,,,1653.545416481034,15.0,15,,,,,7377,4517.60257089138,0.4138312579400337,1.499272346496582,0.257395476102829,90,,77652334,5909718,209546,
2020-03-10,,,,1456.9220545364487,1.0,1,,,,,2342,1327.6134293079376,0.5845912363974175,1.4187818765640259,0.2663869857788086,28,,82236437,1723054,,
2020-03-11,,,,1517.1639475161237,9.0,9,,,,,5441,3342.798604249954,0.444463763295659,1.5835521221160889,0.23729993402957916,71,,80518040,3156319,,
2020-03-12,,,,1501.1469454490534,4.0,4,,,,,3539,2022.0864635705948,0.4210310272216385,1.3275377750396729,0.24511903524398804,48,,79742035,2775244,,
2020-03-13,,,,1625.6384672241481,12.0,12,,,,,7975,4697.975311875343,0.44779440440149043,1.677871584892273,0.2615191638469696,100,,78177628,5737125,,
2020-03-14,,,,1592.3315317389884,18.0,18,,,,,7505,4561.9624081254005,0.4583842380511317,1.505195140838623,0.2574606239795685,103,,76139251,4944689,,
2020-03-15,,,,1444.6777766069881,8.0,8,,,,,2374,1353.7018048763275,0.4451721698472019,1.3566570281982422,0.2515084445476532,27,,82802665,1431740,,
2020-03-16,,,,1606.32845804486,12.0,12,,,,,6437,3960.7756830453873,0.44281892371079246,1.6547508239746094,0.2378452718257904,80,,77927762,5277706,,
2020-03-17,,,,461.2900982262728,,,,,,,,,,,,,,28786903,,,
2021-02-02,,,,160.6285682986111,,,,,,,,,,,,,,,,,
2021-02-03,,,,1384.5,,,,,,,,,,,,,,,,,
2021-02-04,,,,1459.1267319315011,2.0,2,,,,,1972,1223.8426487445831,0.7559306577553991,1.163897156715393,0.2768423855304718,26,,,1775506,,
2021-02-05,,,,1500.2975538297849,,,,,,,2824,1665.4900906085968,0.4257204021153094,1.0253241062164307,0.27469602227211,45,,,2755036,,
2021-02-06,,,,1431.0063023255987,14.0,14,,,,,1946,1074.313940525055,0.3882859208201174,0.9918556809425354,0.282440721988678,52,872134,,170937,,
2021-02-07,,,,1509.853931739991,12.0,12,,,,,5822,3308.798359632492,0.4173867544590934,1.3359929323196411,0.2510583996772766,80,,,2756531,96323,
2021-02-08,,,,1306.686242754474,,,,,,,657,216.53787726163864,0.3595041590499528,0.8560750484466553,0.2821235954761505,6,,,61516,,
2021-02-09,,,,1384.5,,,,,,,620,303.7806746959686,0.311796696095034,0.31382298469543457,0.2796575129032135,10,,,,,
2021-02-10,,,,1465.4103948272966,,,,,,,3353,1817.50978910923,0.38675617040261856,1.0108855962753296,0.24366623163223267,53,,,1925006,,
2021-02-11,,,,1389.8153265335623,,,,,,,756,312.5677236318588,0.31211180938702854,0.37111175060272217,0.2671941816806793,10,,,126462,,
2021-02-12,,,,1423.0023781437174,,,,,,,1409,655.8900933265686,0.316829613907497,0.8330352306365967,0.2467959225177765,16,,,916043,,
2021-02-13,,,,1384.4998878868046,,,,,,,729,251.51699531128193,0.31595886600347645,0.6422576904296875,0.2454405128955841,8,,,,,
2021-02-14,,,,1561.8310411426878,51.0,51,,,,,3441,2056.23283493469,0.5380993686576062,2.2176482677459717,0.2675817608833313,71,2191079,,1461449,173661,
