Date,Calories,Distance,Low_latitude,Low_longitude,High_latitude,High_longitude,Average_speed,Max_speed,Min_speed,Step_count,Average_weight,Max_weight,Min_weight,Move ,Heart_point,Heart_minutes,Biking_duration,Inactive_duration,Walking_duration,Running_duration
10-03-19,2164.861433,5516.879674,12.9841552,80.2290871,12.9907177,80.2373477,0.731456638,4.099531651,0.25502941,5396,,,,176,106,106,6783337,71513380,4340025,
10-04-19,1982.71914,6670.165066,12.9840368,80.22682,12.9920597,80.2375183,0.570473091,9.744189262,0.132909894,5616,,,,121,58,58,3474037,75574769,4530947,
10-05-19,2056.23752,9971.693463,12.9740587,80.2321897,12.9993387,80.2463886,0.844634041,3.560717583,0.055840254,11711,,,,161,42,42,1177031,70383972,8346876,
10-06-19,2042.564693,5991.180721,12.9839239,80.2327403,12.9912093,80.2359548,0.48423191,4.294264317,0.009945904,9504,,,,144,45,45,1614855,74484348,7627983,
10-07-19,1871.327265,6111.382125,12.9740587,80.2331353,12.9977803,80.2463886,0.585330197,4.553801537,0.100654639,5511,,,,105,42,42,2242998,78810901,3818333,
10-08-19,1859.439586,5910.336476,12.9840323,80.2328483,13.0034855,80.2404723,0.705752613,6.735492229,0.05154578,5762,,,,101,33,33,1760989,79202448,4116128,
10-09-19,1906.101805,4299.903206,12.9840894,80.2269864,12.9923756,80.2359274,0.660168816,3.532892704,0.014534444,5798,,,,115,38,38,2204970,76609281,4496213,
10-10-19,2044.664106,6004.763911,12.9840301,80.2270773,12.9906942,80.2360173,1.152278586,4.332479,0.28690809,8508,,,,169,65,65,3201946,73405720,5968692,
10-11-19,2320.055978,7849.550809,12.9839741,80.2281363,12.9909404,80.2395598,0.684613791,2.974321365,0,8569,,,,221,128,128,7327882,67992219,6601248,
10-12-19,2143.710965,5284.94754,12.9836396,80.2338228,12.9910255,80.2385753,1.214739224,3.816563129,0.13641189,7647,,,,169,78,78,4486984,74663213,6122624,64085
10-13-19,1866.317183,3888.524995,12.9816316,80.2303503,12.987043,80.2369891,0.829141471,2.238185644,0.256893396,6745,,,,108,15,15,1012402,76111108,5038264,
10-14-19,1927.448836,5033.735616,12.9840393,80.2305309,12.9924919,80.2375611,0.750423175,2.649003744,0.166467562,7234,,,,128,35,35,2044959,75839150,5058539,
10-15-19,1727.202436,2085.899091,12.9812611,80.2308839,12.9918747,80.2358218,0.691376947,2.163015842,0.301185668,4306,,,,72,16,15,771428,79611176,2751614,
10-16-19,1844.699822,4406.0953,12.9842798,80.2335651,12.9913388,80.2359511,0.742853296,4.934969902,0.222672209,5742,,,,97,31,31,1325976,77774201,4290488,
10-17-19,2143.746837,8169.993214,12.9835857,80.2269245,12.9917913,80.2360384,0.60494433,1.882166386,0.097071871,12020,,,,173,51,51,1854071,73573975,9226121,
10-18-19,2289.858056,12238.76398,12.9660229,80.2164508,12.9925407,80.2480902,0.840699636,3.619999886,0,6483,,,,206,118,118,7589128,67407078,5765258,
10-19-19,2522.799525,14805.41462,12.8190249,79.689937,13.008085,80.2384094,2.360445988,48.75305176,0.128141865,19938,,,,302,69,69,2842007,41181057,14857679,
10-20-19,1936.495289,5974.159612,12.9840008,80.2332437,12.9908692,80.2386509,0.955925056,2.858278036,0.009944169,7962,,,,134,48,48,2328859,75438281,4920489,
10-21-19,1909.443046,5606.459162,12.9836715,80.2269327,12.9917824,80.2359342,0.695952133,3.571408272,0.176670685,9138,,,,130,26,26,934719,75874967,5916265,
10-22-19,2008.187471,5438.92635,12.9840695,80.2305533,12.9924878,80.2360747,0.86457387,11.29155636,0.062305618,5569,,,,124,62,62,3550391,72980493,4927562,
10-23-19,1765.725941,4784.932508,12.9842942,80.2308867,12.9907427,80.2358097,0.826951853,9.119282722,0.24144797,3641,,,,74,30,30,2114317,80217544,2020977,
10-24-19,2052.145949,8746.030938,12.9840417,80.2268596,12.9924923,80.2390283,0.779393534,7.654342651,0.072546698,8543,,,,168,64,64,3792396,71836078,5473473,
10-25-19,2383.899989,23502.0317,12.946868,80.2269363,12.9918096,80.2624046,0.95015518,11.36575603,0.026288386,7196,,,,250,147,147,9598403,63511736,5342259,
10-26-19,1832.082951,3039.532508,12.9840752,80.2312741,12.9870466,80.2359613,0.817002238,6.148644924,0,5053,,,,81,26,26,1328450,78208728,4077552,
10-27-19,1915.620721,6474.68771,12.9812004,80.2174754,12.9920322,80.2391723,0.8497922,13,0.07958293,6291,,,,139,48,48,2920682,70186141,3900835,
10-28-19,1828.036617,3536.59568,12.9856732,80.2312365,12.9907536,80.2358941,0.751742391,7,0.010177454,3939,,,,81,34,34,2078725,74839276,3200815,
10-29-19,1996.713726,6097.433657,12.9839597,80.2270832,12.9917071,80.2359375,0.712029074,4.594140053,0,6636,,,,155,71,71,3807101,72523705,4442709,
10-30-19,1930.870079,6849.926669,12.9838932,80.2269557,12.991746,80.235771,0.508677157,3.089974165,0.25502941,7106,,,,138,41,41,2498005,74753061,4636588,
10-31-19,2088.968229,6039.731279,12.9841972,80.2267323,12.9918852,80.2347434,0.471663012,3.599912643,0.021785507,6441,,,,147,63,63,4166710,71966963,5748467,
11-01-19,1975.985222,8093.277312,12.9836595,80.2269683,12.9918456,80.2384698,0.653483974,13.20236683,0.255524278,4560,,,,128,68,68,4458296,75136307,3262599,45274
11-02-19,2236.007139,11050.83247,12.983643,80.2255999,12.9917603,80.235884,0.665924715,8.524619102,0.098444231,7784,,,,232,133,133,7742724,66868392,4617388,
11-03-19,2013.544823,6362.869834,12.9836476,80.2290082,12.9918166,80.2358714,0.55619593,5.615763664,0.083002955,4658,,,,149,77,77,4895423,72357951,3586903,
